       Palabra reservada 'case', linea 76
       Palabra reservada 'case', linea 99
       Palabra reservada 'case', linea 100
       Palabra reservada 'case', linea 101
       Palabra reservada 'case', linea 102
       Palabra reservada 'class', linea 4
       Palabra reservada 'do', linea 16
       Palabra reservada 'do', linea 24
       Palabra reservada 'do', linea 39
       Palabra reservada 'do', linea 63
       Palabra reservada 'do', linea 78
       Palabra reservada 'double', linea 7
       Palabra reservada 'double', linea 20
       Palabra reservada 'double', linea 21
       Palabra reservada 'double', linea 43
       Palabra reservada 'double', linea 44
       Palabra reservada 'if', linea 30
       Palabra reservada 'import', linea 2
       Palabra reservada 'new', linea 6
       Palabra reservada 'new', linea 21
       Palabra reservada 'new', linea 44
       Palabra reservada 'new', linea 69
       Palabra reservada 'new', linea 84
       Palabra reservada 'package', linea 1
       Palabra reservada 'public', linea 4
       Palabra reservada 'public', linea 5
       Palabra reservada 'static', linea 5
       Palabra reservada 'switch', linea 98
       Palabra reservada 'while', linea 19
       Palabra reservada 'while', linea 35
       Palabra reservada 'while', linea 42

